movie_key,tmdb_id,imdb_id,title,original_title,release_date_key,original_language,runtime_minutes,status,budget_usd,primary_genre,secondary_genre,collection_name,rating_key,popularity,vote_average,vote_count,production_companies,director_popularity,cast_popularity,max_cast_popularity,date_key,date,day,month,month_name,year,week_of_year,weekday_name,rating_code,rating_description,opening_weekend_gross_usd,opening_source,opening_source_url,studios_from_dim,director_has_prior,director_prior_count,director_recent_opening,lead_actor_has_prior,lead_actor_prior_count,lead_actor_recent_opening
1,35,tt0462538,The Simpsons Movie,The Simpsons Movie,20070725,en,87.0,Released,75000000.0,Animation,Comedy,The Simpsons Movie Collection,80,8.2658,7.019,8433.0,"Gracie Films, 20th Century Fox",0.5336,1.4068,2.2142,20070725,2007-07-25,25,7,July,2007,29,Wednesday,PG-13,,74036787.0,bom,https://www.boxofficemojo.com/title/tt0462538/,"20th Century Fox, Gracie Films",1,2,,1,62,26541709.0
2,440,tt0758730,Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,20071225,en,94.0,Released,40000000.0,Action,Science Fiction,AVP Collection,83,6.9715,5.179,3236.0,"Dune Entertainment, Davis Entertainment, 20th Century Fox, Brandywine Productions",0.7434000000000001,1.5720200000000002,2.2252,20071225,2007-12-25,25,12,December,2007,51,Tuesday,R,,10059425.0,bom,https://www.boxofficemojo.com/title/tt0758730/,"20th Century Fox, Brandywine Productions, Davis Entertainment, Dune Entertainment",1,1,,1,8,16200000.0
3,189,tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,20140820,en,102.0,Released,65000000.0,Action,Crime,Sin City Collection,83,5.9128,6.403,4082.0,"Residaco, Miramax, Troublemaker Studios, Aldamisa Entertainment, Demarest Films, Solipsist Film, AR Films",1.8655499999999998,4.874740000000001,6.8951,20140820,2014-08-20,20,8,August,2014,33,Wednesday,R,,6317683.0,bom,https://www.boxofficemojo.com/title/tt0458481/,"AR Films, Aldamisa Entertainment, Demarest Films, Miramax, Residaco, Solipsist Film, Troublemaker Studios",1,25,6463278.0,1,31,19001.0
4,675,tt0373889,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,20070708,en,138.0,Released,150000000.0,Adventure,Fantasy,Harry Potter Collection,80,14.0906,7.7,20546.0,"Warner Bros. Pictures, Heyday Films",1.1665,4.4922,8.3309,20070708,2007-07-08,8,7,July,2007,27,Sunday,PG-13,,,,,"Heyday Films, Warner Bros. Pictures",1,7,,1,8,102685961.0
5,298,tt0496806,Ocean's Thirteen,Ocean's Thirteen,20070605,en,122.0,Released,85000000.0,Crime,Thriller,Ocean's Collection,80,6.7815,6.724,6761.0,"Warner Bros. Pictures, Village Roadshow Pictures, Jerry Weintraub Productions, Section Eight",1.4719,7.062259999999999,15.2945,20070605,2007-06-05,5,6,June,2007,22,Tuesday,PG-13,,36133403.0,bom,https://www.boxofficemojo.com/title/tt0496806/,"Jerry Weintraub Productions, Section Eight, Village Roadshow Pictures, Warner Bros. Pictures",1,22,76817.0,1,50,6757.0
6,285,tt0449088,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,20070519,en,169.0,Released,300000000.0,Adventure,Fantasy,Pirates of the Caribbean Collection,80,14.7544,7.267,15233.0,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",1.8551,4.65804,11.7829,20070519,2007-05-19,19,5,May,2007,19,Saturday,PG-13,,114732820.0,bom,https://www.boxofficemojo.com/title/tt0449088/,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",1,7,135634554.0,1,63,20880.0
7,217,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,20080521,en,122.0,Released,185000000.0,Adventure,Action,Indiana Jones Collection,80,8.3693,6.018,8880.0,"Paramount Pictures, Lucasfilm Ltd.",6.4865,5.48576,12.5298,20080521,2008-05-21,21,5,May,2008,20,Wednesday,PG-13,,100137835.0,bom,https://www.boxofficemojo.com/title/tt0367882/,"Lucasfilm Ltd., Paramount Pictures",1,32,4152260.0,1,83,4613.0
8,534,tt0438488,Terminator Salvation,Terminator Salvation,20090520,en,115.0,Released,200000000.0,Action,Science Fiction,The Terminator Collection,80,6.9182,6.081,6901.0,"The Halcyon Company, Moritz Borman Productions, Wonderland Sound and Vision, Mandate International, T Asset Acquisition Company, Columbia Pictures, Warner Bros. Pictures",0.6264,3.4504400000000004,4.7964,20090520,2009-05-20,20,5,May,2009,20,Wednesday,PG-13,,42558390.0,bom,https://www.boxofficemojo.com/title/tt0438488/,"Columbia Pictures, Mandate International, Moritz Borman Productions, T Asset Acquisition Company, The Halcyon Company, Warner Bros. Pictures, Wonderland Sound and Vision",1,5,6114264.0,1,42,158411483.0
9,663,tt0890870,Saw IV,Saw IV,20071025,en,93.0,Released,10000000.0,Horror,Thriller,Saw Collection,83,3.6785,6.167,4032.0,"Twisted Pictures, Lionsgate",0.5959,1.28362,1.9686,20071025,2007-10-25,25,10,October,2007,42,Thursday,R,,31756764.0,bom,https://www.boxofficemojo.com/title/tt0890870/,"Lionsgate, Twisted Pictures",1,6,33610391.0,1,47,198928.0
10,559,tt0413300,Spider-Man 3,Spider-Man 3,20070501,en,139.0,Released,258000000.0,Action,Adventure,Spider-Man Collection,80,13.5948,6.5,14978.0,"Laura Ziskin Productions, Marvel Studios, Columbia Pictures",2.8461,4.2777,6.3804,20070501,2007-05-01,1,5,May,2007,17,Tuesday,PG-13,,151116516.0,bom,https://www.boxofficemojo.com/title/tt0413300/,"Columbia Pictures, Laura Ziskin Productions, Marvel Studios",1,16,88156227.0,1,32,76817.0
